"Entidad","Evento","Tipo de Programa","Categoría de Apoyo","Clasificación","Clasificación (Vieja Categoría)","Programa","Medida","Periodo","Monto Presupuestado","Fuente","Link","Fecha"
"Guerrero","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Población General","Incentivos Fiscales","Medidas economicas para mitigar la crisis generada por el Covid 19","Estimulo del 50% durante marzo y abril del 2020, al impuesto sobre remuneraciones, conocido como 2% de nómina, así como prórroga para presentación de declaraciónes mensuales","Contingencia Sanitaria",,"Periódico Oficial del Estado de Guerrero","http://periodicooficial.guerrero.gob.mx/wp-content/uploads/2020/04/Periodico-Edicio%CC%81n-Extraordinario-30-Marzo-2020.pdf","43920.0"
"Guerrero","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Turismo (Hoteles y Servicios Turísticos)","Turismo","Medidas economicas para mitigar la crisis generada por el Covid 19","Estimulo del 100% al impuesto sobre hospedaje (3%) durante marzo y abril","Contingencia Sanitaria",,"Periódico Oficial del Estado de Guerrero","http://periodicooficial.guerrero.gob.mx/wp-content/uploads/2020/04/Periodico-Edicio%CC%81n-Extraordinario-30-Marzo-2020.pdf","43920.0"
"Guerrero","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Población General","Incentivos Fiscales","Medidas economicas para mitigar la crisis generada por el Covid 19","Suspensión de la fecha de inicio de las auditorias al sector económico estatal, entre marzo y abril","Contingencia Sanitaria",,"Periódico Oficial del Estado de Guerrero","http://periodicooficial.guerrero.gob.mx/wp-content/uploads/2020/04/Periodico-Edicio%CC%81n-Extraordinario-30-Marzo-2020.pdf","43920.0"
"Guerrero","COVID-19","Programas Fiscales","Condonación de pago de impuesto","Población General","Incentivos Fiscales","Medidas economicas para mitigar la crisis generada por el Covid 19","Ampliación hasta el 30 junio de la vigencia de los estímulos fiscales al impuesto sobre tenencia sobre derechos de control vehicular, del servicio particular y público de transporte","Contingencia Sanitaria",,"Periódico Oficial del Estado de Guerrero","http://periodicooficial.guerrero.gob.mx/wp-content/uploads/2020/04/Periodico-Edicio%CC%81n-Extraordinario-30-Marzo-2020.pdf","43920.0"
"Guerrero","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","PYMES","PYMES","Medidas economicas para mitigar la crisis generada por el Covid 19","Junto a Nacional Financiera (NAFIN) se anuncia la disponibilidad de 60M de pesos en créditos blandos en apoyo a Pymes a través de NAFIN y la banca comercial. Periodo de gracia de 6 meses, tasa preferencial 13.9% fija. A un plazo de hasta 5 años. Montos de 100 mil hasta 2 millones de pesos.","Contingencia y Nueva Normalidad",,"Página de la Secretaría de Fomento y Desarrollo Económico del Estado de Guerrero","http://guerrero.gob.mx/articulos/pyme/","43923.0"
"Guerrero","COVID-19","Programas de Estímulo Económico","Compras Gubernamentales","Sector Agrícola-Ganadero-Pesquero","Producción Agrícola","Medidas economicas para mitigar la crisis generada por el Covid 19","Creación de un programa para apoyo alimentario. Se adquirirán 1,000 toneladas de maíz para estabilizar el precio de la tortilla","Contingencia y Nueva Normalidad",,"Periódico Oficial del Estado de Guerrero","http://periodicooficial.guerrero.gob.mx/wp-content/uploads/2020/04/Periodico-Edicio%CC%81n-Extraordinario-30-Marzo-2020.pdf","43920.0"
"Guerrero","COVID-19","Programas de Estímulo Económico","Obra Pública","Sector de la Construcción","Obra pública","Medidas economicas para mitigar la crisis generada por el Covid 19","El gobierno del Estado dará continuidad a la obra pública para apoyar a las empresas constructoras guerrerenses en el mantenimiento y generación de empleos.","Contingencia y Nueva Normalidad",,"Periódico Oficial del Estado de Guerrero","http://periodicooficial.guerrero.gob.mx/wp-content/uploads/2020/04/Periodico-Edicio%CC%81n-Extraordinario-30-Marzo-2020.pdf","43920.0"
"Guerrero","COVID-19","Programas de Estímulo Económico","Empleo Temporal","Desempleados","Empleos","Convocatoria 2020 Programa Apoyo Al Empleo","Junto a la Secretaría del Tabajo y Previsón Social el Gobierno del Estado de Guerrero anuncian un servicio para vincular a personas en busca de empleo y empleadores. Adicionalmente se establece una linea para defender los derechos laborales y dar asesoría legal a empleados.","Contingencia y Nueva Normalidad",,"Página Web de la Secretaría del Trabajo de Guerrero","http://guerrero.gob.mx/articulos/convocatoria-2020-programa-apoyo-al-empleo/#prettyPhoto","NA"
"Guerrero","COVID-19","Programas de Asistencia Social","Empleo Temporal","Desempleados","Empleos","Convocatoria 2020 Programa Apoyo Al Empleo","Se establece una linea para defender los derechos laborales y dar asesoría legal a empleados.","Contingencia y Nueva Normalidad",,"Mensaje del gobernador sobre medidas económicas ante la contingencia del COVID-19. Transmitido en el canal del Portal Guerrero, Canal oficial de Youtube del Gobierno del Estado de Guerrero. Publicado del 2 de abril del 2020.","https://www.youtube.com/watch?v=rwNA7_ehd2k&t=508s","43923.0"
"Guerrero","COVID-19","Programas Fiscales","Recorte Presupuestal","Población General","Planeación gubernamental","Medidas economicas para mitigar la crisis generada por el Covid 19","Fondo de 200 MDP para atender las emergencias de la pandemia actual, a través de ajustes al presupuesto estatal.","Contingencia y Nueva Normalidad",,"Mensaje del gobernador sobre medidas económicas ante la contingencia del COVID-19. Transmitido en el canal del Portal Guerrero, Canal oficial de Youtube del Gobierno del Estado de Guerrero. Publicado del 2 de abril del 2020.","https://www.youtube.com/watch?v=rwNA7_ehd2k&t=508s","43923.0"
"Jalisco","COVID-19","Programas de Estímulo Económico","Crédito Subsidiado","MIPYMES","MIPYMES","Plan Jalisco COVID-19","450 millones de pesos para micro y pequeñas empresas, para otorgar créditos a tasas del 0% de 20 hasta 300 mil pesos, con plazo de pago de 24 meses con 6 meses de gracia, para empresas con máximo 15 trabajadores.","Contingencia y Nueva Normalidad","4.5E8","Plan Jalisco COVID-19, mensaje de comunicación transmitido por la cuenta oficial de Youtube del Gobierno de Jalisco. 30 de marzo del 2020.","https://www.youtube.com/watch?v=iwjLHEtkuKc","43920.0"
"Jalisco","COVID-19","Programas de Estímulo Económico","Transferencia Directa (Efectivo o Transferencia Bancaria)","Sector Agrícola-Ganadero-Pesquero","Producción Agrícola","Plan Jalsico COVID-19 ""Protección a los productores de maíz""","150 MDP para productores de maíz, ante la cancelación del programa federal Acerca, para cubrir 1.5 millones de toneladas de maíz, un promedio del 75% de cobertura para la cosecha comercializable.","Contingencia y Nueva Normalidad","1.5E8","Plan Jalisco COVID-19, mensaje de comunicación transmitido por la cuenta oficial de Youtube del Gobierno de Jalisco. 30 de marzo del 2020.","https://www.youtube.com/watch?v=iwjLHEtkuKc","43920.0"
"Jalisco","COVID-19","Programas de Asistencia Social","Transferencia Directa (Efectivo o Transferencia Bancaria)","Sector Informal","Sector informal","Plan Jalisco COVID-19","Fondo de 400 MDP para apoyar a personas con empleos informales y que trabajan de forma independiente con un monto de $5,000 para personas que tengan de 18 a 64 años, que no sean beneficiarios de otros programas federales o estatales, y que realizarán labores de apoyo a la contingencia, cuya convocatoria se difundirá a través de canales oficiales del gobierno del estado.","Contingencia y Nueva Normalidad","4.0E8","Plan Jalisco COVID-19, mensaje de comunicación transmitido por la cuenta oficial de Youtube del Gobierno de Jalisco. 30 de marzo del 2020.","https://www.youtube.com/watch?v=iwjLHEtkuKc","43920.0"
